"dates","DOY","YEAR","DAY","TIME","TC","SHADE","SOLAR","DEP","ACT","TA","TSUB","TSKY","VEL","RELHUM","ZEN","DAYLENGTH","ABSAN","PTCOND","POSTURE","PANT","O2_ml","H2OResp_g","H2OCut_g"
2019-08-26 04:00:00,238,2,422,4,3.98660026607759,45,0,0,0,4.38438451508862,6.22960456758822,-2.45783108610368,0.381237896591497,64.6360761235995,90,10.744358461366,0.85,10,0,1,0.352437535339737,1.79534506533865e-05,0.00111332502643003
2019-08-26 05:00:00,238,2,422,5,3.6759450536069,45,0,0,0,4.14286131989196,5.69367747340064,-2.64600553628833,0.326004305380041,61.7721250078065,90,10.744358461366,0.85,10,0,1,0.342986682372733,1.8459598609063e-05,0.00107490180152176
2019-08-26 06:00:00,238,2,422,6,3.38057730687184,45,0,0,0,3.92576980151806,5.29817643009507,-3.02284864017452,0.279439139065037,59.1798204900981,90,10.744358461366,0.85,10,0,1,0.334236044500261,1.87733607157702e-05,0.0010279983585483
2019-08-26 07:00:00,238,2,422,7,3.03620791736069,45,0,0,0,3.67806738429687,4.84628128995333,-3.62205208932221,0.253434110534752,57.5514075950686,90,10.744358461366,0.85,10,0,1,0.324315157114563,1.83722157081963e-05,0.000983177298576954
2019-08-26 08:00:00,238,2,422,8,2.64915663756924,45,0,0,0,3.40062419797544,4.40911239490938,-4.41591425679553,0.232164971031894,57.1349275975404,90,10.744358461366,0.85,10,0,1,0.313515702611718,1.72563025853371e-05,0.00091239590407507
2019-08-26 09:00:00,238,2,422,9,2.29295466775424,45,0,0,0,3.13947773362409,4.24436241535109,-5.3220174288756,0.203546878016164,57.9678241250703,90,10.744358461366,0.85,10,0,1,0.303895047634732,1.57591134185425e-05,0.00080228352313136
2019-08-26 10:00:00,238,2,422,10,1.95526095029031,45,0,0,0,2.98351298993986,3.49951761102893,-6.19394847016662,0.210921573834331,59.9070874503357,90,10.744358461366,0.85,10,0,1,0.295047039629932,1.37844943004142e-05,0.000741735116890785
2019-08-26 11:00:00,238,2,422,11,1.91360090728712,45,0,0,0,3.08551010635331,3.31550635249029,-6.7703823691989,0.205332774883759,62.4419642871403,90,10.744358461366,0.85,10,0,1,0.293973497826705,1.23481700275527e-05,0.000660961845625827
2019-08-26 12:00:00,238,2,422,12,23.2384568484058,0,81.4916559795248,0,1,8.2369167295775,7.58940149676126,-7.86466694235833,0.191600308470617,47.0275477508223,82.904722317441,10.744358461366,0.85,10,1,1,1.89955864305056,0.000861045879263498,0.00704785802349676
2019-08-26 13:00:00,238,2,422,13,32.6783746902482,0,261.545899267161,0,2,12.9859171617055,15.2797337844722,-7.01945634395736,0.18685514721794,37.6754896428621,71.76669171263,10.744358461366,0.85,10,0,1,4.3387995215958,0.00377334098789781,0.0131582248479072
2019-08-26 14:00:00,238,2,422,14,30.667543986053,0,466.509422851806,0,2,19.257577987033,25.1988758171909,-4.76669057163139,0.196331210145163,28.0460719665244,61.8584081053676,10.744358461366,0.85,10,2,1,3.63879858233736,0.00271960005840725,0.0113960775108722
2019-08-26 15:00:00,238,2,422,15,31.6283586679657,24,377.656141466032,0,2,19.9764555761958,29.6845586264294,1.90746875608314,0.265576723900125,29.8355736712681,53.9142699233583,10.744358461366,0.85,10,0,1,3.95793789000688,0.00310732202561321,0.0135921486369288
2019-08-26 16:00:00,238,2,422,16,31.835695941089,30,357.265506254371,0,2,21.757542670889,34.3493950589359,6.06698203115993,0.322845478227197,29.5993007180537,48.9346499073984,10.744358461366,0.85,10,0,1,4.03039666814206,0.00315252012483104,0.014849278952288
2019-08-26 17:00:00,238,2,422,17,32.2068008509833,33,333.699892608118,0,2,22.8894991030702,36.8113611648762,9.35995080477627,0.36513399672197,30.3171445822061,47.8714624866646,10.744358461366,0.85,10,0,1,4.16341572042108,0.00328287581713086,0.0159084944177846
2019-08-26 18:00:00,238,2,422,18,31.7076314017493,36,285.328598921079,0,2,22.9849485973674,36.9554836209669,11.7212138929331,0.369122135433537,32.7036737102016,50.9735192294617,10.744358461366,0.85,10,0,1,3.98548646557499,0.00297659420128831,0.0151641653907318
2019-08-26 19:00:00,238,2,422,19,31.9186532990028,36,242.559104787756,0,2,22.8920635782283,36.2094771757882,12.7077675785419,0.320751339214149,35.232952623917,57.5630188657586,10.744358461366,0.85,10,0,1,4.05975822850123,0.00302815888001355,0.014047935977567
2019-08-26 20:00:00,238,2,422,20,32.8136052686775,33,196.332760370369,0,2,22.5452985230375,34.3858018019024,12.3953988083132,0.232680409431668,38.0536246584453,66.5947932687344,10.744358461366,0.85,10,0,1,4.39044302413312,0.003450645104629,0.0126429395542077
2019-08-26 21:00:00,238,2,422,21,31.9833271838366,30,109.883270673145,0,2,20.853524996453,29.9397144130191,10.8175643698976,0.113605477154322,44.051224604934,77.1887135764812,10.744358461366,0.85,10,0,1,4.08279691888255,0.00297939308127883,0.00912672584200224
2019-08-26 22:00:00,238,2,422,22,31.8278410364281,0,12.476894387716,0,2,20.4796267207199,23.4227405704703,7.22754123433526,0.0490422585745482,46.4255905424516,88.747477743192,10.744358461366,0.85,10,0,1,4.02762756737486,0.00287906257676739,0.00780492413218971
2019-08-26 23:00:00,238,2,422,23,9.49186059718639,45,0,0,0,8.85259906467845,15.6908951853637,2.57184866623288,0.128910742480307,99.8975442660385,90,10.744358461366,0.85,10,0,1,0.570534679839673,4.57602955561261e-06,9.40323228698322e-05
2019-08-27 00:00:00,239,2,423,0,11.4480697137032,45,0,0,0,12.0885496212732,13.3749728806708,5.38786916047826,0.19493078899531,80.4527611789234,90,10.7752107255404,0.85,10,0,1,0.677045716077431,2.70726320871847e-05,0.000597025818392115
2019-08-27 01:00:00,239,2,423,1,10.9751592018921,45,0,0,0,11.5079358297452,13.3691640373619,4.45708500450775,0.228965872868532,82.1873044211578,90,10.7752107255404,0.85,10,0,1,0.649602062368114,2.31523056156019e-05,0.000581117715312192
2019-08-27 02:00:00,239,2,423,2,10.5525722239195,45,0,0,0,11.2122889803614,12.5070646181882,3.88526724151745,0.242668620622784,81.2715791734115,90,10.7752107255404,0.85,10,0,1,0.626021270891802,2.20254316905611e-05,0.00059625256793828
2019-08-27 03:00:00,239,2,423,3,10.3698218451979,45,0,0,0,11.1187357797856,11.9329186008436,3.71662583623601,0.251545180349529,78.5025489321291,90,10.7752107255404,0.85,10,0,1,0.616090589912588,2.50035824539055e-05,0.000701462066720869
2019-08-27 04:00:00,239,2,423,4,10.4232445837936,45,0,0,0,11.1619741843978,11.9498829730128,3.99500990090576,0.240349026056313,74.6888328533711,90,10.7752107255404,0.85,10,0,1,0.618977182124844,3.13471730687426e-05,0.000848612502210386
2019-08-27 05:00:00,239,2,423,5,10.3326235240051,45,0,0,0,11.2276216576886,11.2565295505601,4.55645875370652,0.19070128482272,70.8607267153672,90,10.7752107255404,0.85,10,0,1,0.614088605810161,3.57286781770137e-05,0.000861019089483277
2019-08-27 06:00:00,239,2,423,6,10.2950753110914,45,0,0,0,11.1902088886275,11.2121543390714,5.16352599726133,0.140086917935749,67.9861514586991,90,10.7752107255404,0.85,10,0,1,0.61207438826007,4.00242071019463e-05,0.000823629178145519
2019-08-27 07:00:00,239,2,423,7,10.147421684786,45,0,0,0,10.9831302482223,11.205517674446,5.60854318387192,0.0962992658844879,66.5953287417459,90,10.7752107255404,0.85,10,0,1,0.604217597062358,4.16379519495733e-05,0.000726683534349722
2019-08-27 08:00:00,239,2,423,8,9.87721150789416,45,0,0,0,10.5794394697347,11.3940267598162,5.70464696268141,0.0409428520225319,66.6699486112843,90,10.7752107255404,0.85,10,0,1,0.590099684809832,4.06621196821116e-05,0.000541385574655411
2019-08-27 09:00:00,239,2,423,9,9.43790625477626,45,0,0,0,9.99016749214124,11.078165391698,5.30367979274251,0.0621163851478746,67.980816452148,90,10.7752107255404,0.85,10,0,1,0.567847584919385,3.70966113500588e-05,0.000565648125180592
2019-08-27 10:00:00,239,2,423,10,8.77899136291651,45,0,0,0,9.29885596310168,10.1215242512975,4.38228133239693,0.160046849764247,69.990762145724,90,10.7752107255404,0.85,10,0,1,0.53603483906609,3.12010877241059e-05,0.000774565499140291
2019-08-27 11:00:00,239,2,423,11,8.14084534780275,45,0,0,0,8.74601838912087,9.10428534950405,3.26781182996461,0.237673598858718,71.3408654029497,90,10.7752107255404,0.85,10,0,1,0.506924718404528,2.62906091512039e-05,0.000862377750577913
2019-08-27 12:00:00,239,2,423,12,23.2812035680386,0,82.7794059404462,0,1,13.2411596495333,13.5135579307334,4.36856665821085,0.284216616685748,51.7117592391218,82.6523771417546,10.7752107255404,0.85,10,0,1,1.90667679450749,0.000766936321036942,0.00732338007375026
2019-08-27 13:00:00,239,2,423,13,30.6010641472863,0,263.502402128082,0,2,17.0451471912312,19.5869350131746,4.26724020890418,0.273550575313812,39.2734904091921,71.4939612082182,10.7752107255404,0.85,10,0,1,3.6176936115681,0.00259639344139288,0.0126259849318981
2019-08-27 14:00:00,239,2,423,14,31.8051948738405,21,293.795702579088,0,2,20.4722113837138,26.3981494721939,6.8425346635143,0.223858938897687,30.5979033262243,61.5615143672092,10.7752107255404,0.85,10,0,1,4.01965472817666,0.00316396119399659,0.0125969378927081
2019-08-27 15:00:00,239,2,423,15,32.8997715838534,36,269.866234638844,0,2,22.29144790238,33.7404241694395,10.2611941809519,0.155060310758359,26.4097253005274,53.5944077104014,10.7752107255404,0.85,10,0,1,4.42366942807669,0.00377955204579509,0.0117772441782269
2019-08-27 16:00:00,239,2,423,16,33.3515394613768,45,222.020492435001,0,2,22.2342359484021,40.2583516858335,13.5247647272889,0.0791510891405265,25.6918651514646,48.604002219365,10.7752107255404,0.85,10,0,1,4.60203423283971,0.00407459801214478,0.0102911497189515
2019-08-27 17:00:00,239,2,423,17,36.9553877985498,45,226.246607601928,0,0,24.1261456189832,46.9725815996319,15.7564497067264,0.0314357506935264,22.4473764044599,47.5549213624607,10.7752107255404,0.85,10,0,1,6.30806386629025,0.00626292607897644,0.0121111936515357
2019-08-27 18:00:00,239,2,423,18,38.1910511364501,45,211.987011644541,0,0,25.1498918724033,48.774945658419,17.4165138121037,0.0288356811996513,21.0243047733045,50.6956120622315,10.7752107255404,0.85,10,0,1,7.02831614540735,0.00678619269024691,0.013053666908175
2019-08-27 19:00:00,239,2,423,19,37.5448219933929,45,180.271862548113,0,0,25.2144188429383,46.4435552485983,18.2373763966186,0.0408079775735424,21.2684222640795,57.3330639788741,10.7752107255404,0.85,10,0,1,6.64193438784417,0.00649866041526638,0.0126276117990234
2019-08-27 20:00:00,239,2,423,20,34.4609819352471,45,127.491962185387,0,2,24.2059507488444,40.1186335388115,17.9145916499522,0.0777101782529342,23.2580684849517,66.4086232825098,10.7752107255404,0.85,10,0,1,5.07117571385893,0.00482549793163226,0.0108820417412687
2019-08-27 21:00:00,239,2,423,21,31.9465884683362,39,79.517848499562,0,2,23.54982257906,32.8382899043339,16.3209542786381,0.13785862816138,25.0568586509709,77.0371489831004,10.7752107255404,0.85,10,0,1,4.0696935434925,0.00324216562643955,0.0104450567440495
2019-08-27 22:00:00,239,2,423,22,32.7563853310516,0,13.5277700254389,0,2,23.4210355289171,26.2860856945265,12.8749100617542,0.208022729933512,26.119681273194,88.6210012778527,10.7752107255404,0.85,10,0,1,4.36851657601275,0.00366061752825085,0.0128878959472444
2019-08-27 23:00:00,239,2,423,23,13.5968361871772,45,0,0,0,13.4539790842682,18.1570044484663,7.64407699044887,0.289800483033299,50.09549069884,90,10.7752107255404,0.85,10,0,1,0.817092304905571,0.000122082040802062,0.0026947932019704
2019-08-28 00:00:00,240,2,424,0,10.2367623121675,45,0,0,0,9.72085710799975,16.7683206138265,3.6669299175997,0.325023751006648,64.9769157827874,90,10.8063363217453,0.85,10,0,1,0.608959364285474,5.33903788684387e-05,0.00170846534154711
2019-08-28 01:00:00,240,2,424,1,8.62394638461677,45,0,0,0,8.61891196024764,12.8687417855758,2.23329879763054,0.295628282185221,69.7162539817908,90,10.8063363217453,0.85,10,0,1,0.528812007576326,3.36358045345083e-05,0.00117060287811312
2019-08-28 02:00:00,240,2,424,2,7.77798371441125,45,0,0,0,7.83729670934198,11.8899621485505,1.17179323152499,0.264202294371127,72.2246049864926,90,10.8063363217453,0.85,10,0,1,0.491082803537311,2.66427611027825e-05,0.000940667127009975
2019-08-28 03:00:00,240,2,424,3,7.24955174939277,45,0,0,0,7.38649668898819,11.1415750587058,0.597531773071182,0.211389449704716,72.5074747343796,90,10.8063363217453,0.85,10,0,1,0.468893607361397,2.39021057921782e-05,0.000780320207645026
2019-08-28 04:00:00,240,2,424,4,7.00982280012695,45,0,0,0,7.22367144589991,10.5738207985882,0.552175619162711,0.178624773477494,71.0772095820439,90,10.8063363217453,0.85,10,0,1,0.459160596886013,2.39567082835353e-05,0.000728813484593173
2019-08-28 05:00:00,240,2,424,5,6.95783769466063,45,0,0,0,7.22143584782719,10.210796932754,0.862059484099859,0.148243191245969,69.0004785352641,90,10.8063363217453,0.85,10,0,1,0.457076799524102,2.53976957935183e-05,0.000701898611727928
2019-08-28 06:00:00,240,2,424,6,7.00540005041183,45,0,0,0,7.24856112590548,10.1907014426384,1.30645159644899,0.0997419042323878,67.3445447428441,90,10.8063363217453,0.85,10,0,1,0.458982944014868,2.71610970645816e-05,0.000606160796548937
2019-08-28 07:00:00,240,2,424,7,7.11699268407301,45,0,0,0,7.20958234923413,10.531785311122,1.68676979231731,0.0484229780338793,66.8567339475828,90,10.8063363217453,0.85,10,0,1,0.463486476971082,2.87141236400316e-05,0.000441219869177813
2019-08-28 08:00:00,240,2,424,8,7.08000319286455,45,0,0,0,7.05099875330234,10.5477136545071,1.83776442766748,0.0590655022016933,67.7138729871819,90,10.8063363217453,0.85,10,0,1,0.461988820871808,2.82826123294723e-05,0.000454266667868261
2019-08-28 09:00:00,240,2,424,9,6.6529983226098,45,0,0,0,6.7489929585366,9.72072480423628,1.62858882702204,0.102529640568616,69.9095716773171,90,10.8063363217453,0.85,10,0,1,0.445046389003235,2.41125160680542e-05,0.000552215080827827
2019-08-28 10:00:00,240,2,424,10,6.16791989670125,45,0,0,0,6.34505399035245,9.03474250943272,1.03638372973955,0.139503830494078,73.1706538598284,90,10.8063363217453,0.85,10,0,1,0.426552313160117,1.94757229608515e-05,0.000555962486662872
2019-08-28 11:00:00,240,2,424,11,5.84934399069956,45,0,0,0,6.10673037436999,8.66271656696131,0.401759294868725,0.145529738476774,76.0144663505965,90,10.8063363217453,0.85,10,0,1,0.41482642812938,1.60834822652162e-05,0.000487238989983733
2019-08-28 12:00:00,240,2,424,12,24.284057166437,0,84.0476660446421,0,1,12.1936559123605,13.3587002246655,2.15055932340107,0.129811139707411,51.5826491699752,82.3961069170702,10.8063363217453,0.85,10,0,1,2.08154362706128,0.000932706219633434,0.00600724266604796
2019-08-28 13:00:00,240,2,424,13,32.084974918067,0,260.007410508115,0,2,16.7514877098871,20.5144422782954,2.6478116152004,0.152310069825412,39.2954557990321,71.2172153213135,10.8063363217453,0.85,10,0,1,4.11927126412363,0.00329640091380295,0.0111849745949348
2019-08-28 14:00:00,240,2,424,14,31.9473153179164,0,460.430050178398,0,2,21.0819635971916,27.6177474822978,4.10227688985742,0.267341499224192,30.6882104147878,61.2604011332387,10.8063363217453,0.85,10,2,1,4.06995237631406,0.00321183399060239,0.0136612665734554
2019-08-28 15:00:00,240,2,424,15,32.6256182655741,21,401.012527690149,0,2,21.9225095614085,31.4133341901051,7.92290833352013,0.420546153364618,29.8951875681542,53.2700914298386,10.8063363217453,0.85,10,0,1,4.31881737052779,0.00355807560601066,0.0178876655761339
2019-08-28 16:00:00,240,2,424,16,32.4109363156659,27,393.722776102142,0,2,23.5879516444941,35.2619016187656,10.9415465909656,0.577041071983348,27.805596538605,48.2689177103077,10.8063363217453,0.85,10,0,1,4.23844864452854,0.00342104644471419,0.020936035404743
2019-08-28 17:00:00,240,2,424,17,32.085954151109,33,337.799109044206,0,2,24.3204859925693,37.0749455377899,13.5647413793552,0.589410283134918,27.4965948531287,47.2345706336336,10.8063363217453,0.85,10,0,1,4.11962422319041,0.00322795685341451,0.0206255480359615
2019-08-28 18:00:00,240,2,424,18,32.5916181988615,33,316.469086045465,0,2,25.1415236417349,37.3250562524591,15.0788072992024,0.631889729572089,27.1950818531924,50.4149865481893,10.8063363217453,0.85,10,0,1,4.30598821551014,0.00347096822498538,0.022038239380867
2019-08-28 19:00:00,240,2,424,19,32.3886427425036,33,269.211180679068,0,2,24.9780396996815,36.1024804168828,15.7128346926014,0.599909571138605,28.6676947741721,57.1013860281848,10.8063363217453,0.85,10,0,1,4.2301889804777,0.00332952563004757,0.0208916969087715
2019-08-28 20:00:00,240,2,424,20,32.7243582939786,27,224.115801833335,0,2,24.4537459140272,33.477857406098,14.9518926648528,0.50915964005942,30.9248059322439,66.2213594470586,10.8063363217453,0.85,10,0,1,4.35629177878669,0.00347832686994338,0.0192478528429685
2019-08-28 21:00:00,240,2,424,21,32.6814385642803,18,145.150726644821,0,2,22.9262158023766,29.066491571684,13.2895351682995,0.383620425462318,35.3656008895003,76.8847887211867,10.8063363217453,0.85,10,0,1,4.33996283836794,0.00342024630064534,0.0162372510991442
2019-08-28 22:00:00,240,2,424,22,29.0605831320087,0,15.6037384297626,0,1,20.0017305065423,22.4128264624607,10.8618889611656,0.292959811769247,43.8893494251328,88.4937859642946,10.8063363217453,0.85,10,0,1,3.16150231664107,0.00186736681467196,0.0107096399536128
2019-08-28 23:00:00,240,2,424,23,11.9162615157705,45,0,0,0,11.5288328029481,16.7164795770097,6.24487129448687,0.145454972528677,77.7001119187702,90,10.8063363217453,0.85,10,0,1,0.705357490989792,4.47129270044909e-05,0.000781573349856645
2019-08-29 00:00:00,241,2,425,0,11.9325953598035,45,0,0,0,11.917086639726,15.5164638252299,6.53033450640419,0.129226452677161,77.1130838811031,90,10.8377253663633,0.85,10,0,1,0.706366296283677,4.23514103424238e-05,0.000670994194980074
2019-08-29 01:00:00,241,2,425,1,11.3867433256957,45,0,0,0,11.4934815351685,14.6431930028182,5.94164493356914,0.173249739857992,79.7542155158986,90,10.8377253663633,0.85,10,0,1,0.673422452019557,3.31490670425818e-05,0.000666072254966669
2019-08-29 02:00:00,241,2,425,2,10.9313279448492,45,0,0,0,11.1674119687327,13.6659590944273,5.39635023020998,0.260291832117155,81.0792621916182,90,10.8377253663633,0.85,10,0,1,0.647115507317482,2.75459503467265e-05,0.000734919179155018
